id	DTM	LWC_g	PLHT_cm	TSM_g	STEM_DIAMETER_cm	STEM_BIOMASS_g	SEED_YIELD_g	TOTAL_DRY_BIOMASS_g	CBC (%)	THCA (%)	CBDA (%)	CBGA (%)	3.carene (ppm)	A.pinene (ppm)	A.terpinene (ppm)	B.caryophyllene (ppm)	Camphene (ppm)	Caryophyllene.Oxide (ppm)	Citronellol (ppm)	Eucalyptol (ppm)	Geraniol (ppm)	G.terpinene (ppm)	Linalool (ppm)	Linalyl.Acetate (ppm)	Ocimene.1 (ppm)
UC-190	98	0.53	61.9	12.8	0.6	6.02	12.35	36.79	0	0.0404	1.2814	0.1268	0	165.67	7.51	35.24	4.49	4.87	0	0	0	5.02	0	4.18	4.48
UC-192	98	0.52	78.1	15.2	1.3	33.89	34.66	175.55	0	0	0.0077	0.0162	0	17.63	0	5.32	0.35	3.52	0	0	0	0.71	0	0	0
UC-193	99.66666667	0.42	74.96666667	11.4	0.833333333	16.09	18.59666667	100.2566667	0.0003	0.0016	0.0596	0.0041	0	74.08	1.98	34.02	1.4	8.4	0	0	0	1.89	0	0	1.98
UC-194	91	1.22	81.8	18	1.1	21.26	21.02	96.92	0.0007	0.0019	0.0797	0.0014	0	55.6	1.01	56.24	0.69	7.68	0	0	0	0.48	0	2.72	1.6
UC-195	105.6666667	0.906666667	113.9333333	14.2	1.133333333	38.23333333	14.07	109																	
UC-196	88	0.66	53.6	13.2	0.6	5.77	0.72	35.07	0	0.0011	0.039	0	0	19.9	0.69	19.52	0	5.99	0	1.21	0	0.51	0	1.75	0.46
UC-199	88	0.41	28.4	8.936170213	0.5	1.55	0.43	10.49	0	0	0.0012	0.0038	0	24.67	0	0.53	0.57	13.88	0	0	5.47	0	0	1.26	0
UC-200	107	1.67	104.7	12.8	1.25	29.66	26.43	118.78	0	0.0193	0.6267	0.011	6.96	174.8	8.95	74.57	4.37	6.51	0	2.87	0	8.74	0	0	3.33
UC-201	105	1.56	110.5	14.8	2.2	37.89	44.36	82.25																	
UC-204	84	0.38		9	0.4	2.31	1.6	18.36	0.0018	0.0175	0.5993	0.0512	0	32.41	3.61	11.49	1.52	4.58	0	0	3.69	2.44	0	3.32	0.87
UC-205	101	1.6	72.6	17.2	0.8	6.93	18.28	48.53																	
UC-206	105	1.38	127	13	1.6	70.54	62.12	315.09	0	0	0.0098	0.0005	0	57.19	0	0	1.34	28.94	4.68	0	11.84	0	0	0	0
UC-207	82	0.41		7.8	0.4	1.67	0.49	10.27																	
UC-208	96	0.18	39	11.93548387	0.5	1.7	0.38	9.31	0	0	0.002	0.0008	0	19.34	0.49	1.16	0.46	12.24	3	0	4.56	0	0	2.03	0
UC-209	99	0.606666667	57.66666667	14.8	0.8	11.97	11.80333333	66.39333333	0	0.0019	0.0745	0.0012	0	119.95	5.25	29.69	2.18	8.48	0	0	0	3.01	0	0	2.34
UC-210	105	2.47	141	18.6	2.1	92.82	92.08	334.38	0	0.0237	0.6318	0	10.78	519.37	7.3	45.42	14.27	10.25	0	10.63	0	8.09	8.29	9.61	1.23
UC-211	94	0.44	70.7	16.6	0.5	8.86	21.26	51.37	0	0	0.0021	0.0004	0	103.04	0	6.44	1.98	65.12	11.97	0	19.56	0	0	4.82	0
UC-212	105	1.18	107.5	14.4	1.2	33.35	14.26	151.95	0	0.0004	0.0167	0.0016	0	29.62	0.83	4.24	0.6	3.13	0	0	0	0.92	0	0	0.73
UC-213	94	0.6	78.2	17.4	0.8	8.59	17.85	48.12	0	0	0.0024	0	0	19.4	0	2.75	0.33	21.62	0	1.5	3.41	0	0.57	2.24	0
UC-214	96.33333333	1.14	106.2	13.2	0.933333333	20.50666667	30.28	109.8566667	0	0	0.0016	0.0003	0	50.96	0	3.24	1.23	15.04	7.56	0	12.94	0	2.2	0	0
UC-215	101	1	110.6	11.6	1.2	37.33	35.48	156.59	0	0.009	0.2703	0.0261	8.6	218.45	5.97	12.8	7.88	5.6	0	10.05	0	6.19	3.3	4.73	4.73
UC-223					0.9	14.74	9.7	62.68																	
UC-227	96	0.73	67.9	13.6	0.9	10.71	9.89	51.46	0.0007	0.0033	0.1484	0.0048	0	62.89	2.1	41.28	1.27	2.53	0	0	0	1.75	0	0	0
UC-229	82	0.44	36.9	7.4	0.4	2.19	1.56	20.25	0.0006	0.0024	0.0799	0.0015	0	97.78	2.83	66.64	3.08	0.53	0	0	0	2.84	0	0	0
UC-235	94	0.68	57.4	16.8	1.2	7.58	3.48	42.06	0	0	0.0004	0.0406	0	46.19	0	10.29	0	11.38	0	0	0	0	0	0	0
UC-237	98	0.6	62.1	11.4	0.6	6.23	8.23	36.62																	
UC-238	98	0.88	177.9	13.2	2	139.25	21.52	304.81	0	0	0.0115	0.0005	0	20.73	0	1.12	0.64	25.64	0	0	7.54	0	0	0	0
UC-239	101	1.3	86.6	86.6																					
UC-240	105	3.18	97.8	16	1	12.19	8.67	66.7	0	0	0.0023	0.0007	0	5.83	2.02	0	8.44	0.74	0	0	1.85	0.99	0.42	5.19	0
UC-244	84	0.42		8	0.6	2.78	0.07	24.96																	
UC-245	119	1.4	85.6	9.8	0.9	37.89	31.6	134.15	0	0.0007	0.0232	0.001	0	6.82	0.92	0	0	3.61	0	0	3.28	0	0	2.31	0
UC-247	99	0.716666667	86.03333333	12.8	0.9	22.95	24.23666667	87.70666667	0.0026	0.0415	1.0583	0.045	1.63	202.95	5.76	23.81	8.68	3.69	0	8.37	0	4.18	4.14	4.46	0
UC-248	114.6666667	0.623333333	97.2	12.4	1.166666667	49.33333333	30.54666667	161.76	0	0	0.0007	0.0002	0	21.99	0	0	0	0	0	0	2.66	0	0	0	0
UC-249	91	0.64	61.4	13	0.5	7.27	4.86	34.12	0	0	0.1014	0	0	182.85	7.49	87.92	2.9	12.5	0	10.11	0	5.66	0	0	6.38
UC-250	98	0.25	22.2	10.71428571	0.2	1.15	0.4	10.81	0	0.0036	0.1226	0.0037	0	67.58	0	23.59	0	8.03	0	0	0	0	0	0	0
UC-251	107	1.29	85.8	20.2	1.2	15.65	7.78	77.22	0	0	0.0016	0	0	12.27	0	1.62	0.31	8.77	0	0	4.5	0	0	0	0
UC-252	105	1.31	150.1	11.6	1.3	44.73	64.47	187.74	0	0	0.0027	0.0012	0	10.14	0	7.07	0.2	18.71	0	0	3.18	0	0	2.34	0
UC-253	98	1.343333333	82.2	20.4	0.9	13.3	57.1	92.51	0	0.002	0.0779	0.0017	0	972.55	51.12	546.11	16.31	99.28	0	0	0	47.14	0	0	41.23
UC-255	101	1.6	151.8	16.6	1.4	63.97	32.93	176.8	0	0.0008	0.0276	0.0003	0	36.02	0	14.91	0	8.86	0	0	0	0	0	3.7	0
UC-256	101.5	0.815	52.4	14.6	0.75	7.805	15.38	51.8																	
UC-257	105	0.62	96.6	15	1.2	38.54	73.57	214.91	0.0005	0.0014	0.0573	0.0024	0	40.76	2.42	30.91	0.78	8.38	0	0	0	2.34	0	0	1
UC-258	101	0.81	114.5	31.6		55.47	78.89	225.9																	
UC-262	84	0.44	42	13	0.6	2.9	0.87	15.8	0	0	0.0038	0	0	46.88	0	4.52	1.29	43.22	3.26	1.35	6.31	0	0.7	0	0
UC-263	105	0.76	81.7	15	1.4	22.64	24.05	93.38	0	0	0.0042	0.001													
UC-264	101	1.8	169.6	18.2	1.3	50.18	48.22	200.83																	
UC-265	105	0.57	77.3	14.2	0.9	23.08	30.36	133.37	0	0	0.0043	0.0141	0	47.02	0.84	12.3	0.81	19.28	0	0	0	0.93	0	0	0
UC-266	107	0.65	68.8	14.4	0.8	7.16	11.36	32.13	0.0002	0.0035	0.1441	0.0018	0	78.38	0	46.82	0	15.95	0	3.27	0	0	0	0	0
UC-268	107	0.59	55.6	17.2	0.9	15.9	9.16	77.35																	
UC-269	105	0.88	72.7	13.8	0.7	11.12	7.2	36.48	0	0	0.0017	0.0202	0	33.64	1	23.72	0.71	5.84	0	5.45	0	1.05	0	2.36	0
UC-270	106.3333333	1.066666667	82.66666667	14.4	1.033333333	25.88333333	14.58333333	102.8733333	0	0	0.0049	0.29	0	30.6	1.51	6.52	0.98	3.6	0	0	0	1.16	0	3.25	0
